,var_title,var_definition,var_type,index_category
11,OVERALL RHYTHM: VOCAL,"In most musical styles, the performer or performers employ a single, overall rhythmic “ground plan,” which serves as a point of reference for the infinite variety of rhythmic detail possible within the scheme. Although many such overall formats are possible, they have been divided here into five general categories. The categories for this measure apply to the overall rhythm of the voices. In order to code the instrumental part, refer to Line 13.",Categorical,Metrical Pattern
12,RHYTHMIC RELATIONSHIP WITHIN THE VOCAL GROUP,"Singing groups establish their rhythmic activity in a number of ways. In some cases, all singers or parts in a chorus may stick to the main rhythm. In others, there may be one or more contrasting rhythmic parts. This line provides seven descriptive categories for the various types of rhythmic relationships that link a group together within one of the overall metrical patterns already coded in Line 11.",Categorical,Rhythmic Relationship
13,OVERALL RHYTHM: ORCHESTRA,"In most musical styles, the performer or performers employ a single, overall rhythmic plan that serves as a point of reference for the great variety of rhythmic detail possible within the scheme. Although a large number of such overall schemes are possible, here they are divided them into six general categories. The categories for this measure apply to the overall rhythm of the instrumental part.",Categorical,Metrical Pattern
14,RHYTHMIC RELATIONSHIP WITHIN THE ORCHESTRA,The various types of relationships between the instruments are rated here.,Categorical,Rhythmic Relationship
15,MELODIC SHAPE,"The characteristic contours of the vocal line are described in very general terms. While most of the other lines are scalar to some degree, this line did not lend itself to such treatment. Hence, the sequence of the four categories of melodic shape is arbitrary.",Categorical,Melodic Form
16,MELODIC FORM,"Line 16 is an attempt to deal succinctly with the full range of melodic forms. At one end of the scale is simple litany, defined here as a short tune composed of one or two phrases repeated over and over again; in the middle there are strophic forms; and at the other end is the most complex type, through-composed, in which many varied phrases are strung together in a fashion that to some listeners may seem to be almost formless. Degrees of melodic variation within these forms are dealt with here as well.",Categorical,Melodic Form
17,PHRASE LENGTH,"A simple five-point scale is used to describe phrase length. Coding was done without a stopwatch for half the song sample, and then a test with a stopwatch was made. It was found that the length of phrase rated by ear closely approximated the stopwatch measurements.",Ordinal,Metrical Pattern
18,NUMBER OF PHRASES,"Determine the number of melodic phrases that occur in a song before a full repeat of the entire phrase sequence, as well as the presence or absence of phrase symmetry.",Ordinal,Melodic Form
19,POSITION OF FINAL TONE,"The relation of the final note to the total range of the song. The ear training one develops through listening to the musical examples facilitates a simple, non-technical approach to the concepts outlined here. The rating scale used is a relatively simple one.",Ordinal,Articulation
20,MELODIC RANGE,"This is a method of judging the total melodic range of a song, which is the distance between its highest and lowest notes. Careful listening makes it possible to take a non-technical approach to this measure.",Ordinal,Musical Characterstics
21,INTERVAL SIZE,"An interval is the distance in pitch between two notes. Here interval size is estimated by using a subjective five-point scale, in order to determine the relative frequency of one or more size-categories of interval in a performance.",Ordinal,Articulation
22,POLYPHONIC TYPE,"This measure considers the use of simultaneously produced intervals other than unison or the octave. Two-part intervals of this kind are considered polyphony, as well as harmonies of greater complexity. Simultaneously produced intervals may also occur in heterophony. (See also Line 4.)",Categorical,Musical Characterstics
23,EMBELLISHMENT,"Embellishment is one of several devices used by the singer as a kind of qualification, or ornament, of the “basic” melodic line. An embellished melodic line contains two entirely distinct kinds of note value, the embellished part being much more rapid and ephemeral than the melodic part.",Ordinal,Ornament
24,TEMPO,"As employed in Cantometrics, tempo is based on a relative and approximate determination of the speed or speeds of a performance.",Ordinal,Dynamics
25,VOLUME,"Volume measures the relative degree of loudness in a performance. As with tempo, a subjective scale cued by the human ear proved most useful for determining volume. A decibel count of volume in any given recording is affected by so many factors that it would be meaningless unless every stage of both the recording and playback were subject to the most rigorous control.",Ordinal,Dynamics
26,RUBATO: VOCAL,A judgment about how strictly tempo is maintained during a vocal performance.,Ordinal,Metrical Pattern
27,RUBATO: ORCHESTRA,"A judgment about how strictly tempo is maintained during a performance, applied to the orchestra or accompanying instruments.",Ordinal,Metrical Pattern
28,GLISSANDO,"Glissando is the effect created when the voice slides smoothly from one tone to another, passing through all the intermediate pitch levels.",Ordinal,Ornament
29,MELISMA,"The same syllable of text sung to two or more notes of melody—or, conversely, the passage of several notes over one syllable.",Ordinal,Ornament
30,TREMOLO,"Tremolo is a quavering or shaking in the voice, heard as an undulation between two closely adjacent pitches or tone colors. It is usually discernible only on notes held for an appreciable length of time.",Ordinal,Ornament
31,GLOTTAL,"Glottal articulation is the product of noticeably forceful activity in the pharyngeal, or glottal, area in the back of the throat. Some singers actually manipulate their laryngeal prominence (Adam’s apple) with their fingers to produce this effect.",Ordinal,Ornament
32,VOCAL PITCH (REGISTER),"Vocal pitch refers to the tonal height, or frequency, of the voice. It is commonly used to describe the key most natural for the voice of the singer.",Ordinal,Dynamics
33,VOCAL WIDTH,"This measure concerns the contrast between voices that sound mellow, relaxed, and resonant (wide), and voices that are tense, pinched, and restricted in resonance (narrow).",Ordinal,Vocal Noise
34,NASALITY,"A nasalized tone is a strong marker of some singing styles even in the absence of nasal syllables, probably because singing is normally louder and more forceful than speaking. When a wide sample of recorded song is examined, the absence of nasalization in some styles is also striking. For this reason, nasalization is coded, in spite of the vagueness of the term.",Ordinal,Vocal Noise
35,RASP,"Rasp is frequently associated with very marked, forced vocalizing. It cuts through musical performances in which everyone is singing loudly with a loud accompaniment. In some parts of the world, performers sing in a grating tone, at the same time forcefully emphasizing consonants. The result is clear articulation, but with a noisier tonal image.",Ordinal,Vocal Noise
36,ACCENT,"Accent is heard as the dynamic attack on sung tones. It describes the prominence given to a note or chord, usually by increasing the volume or lengthening the duration, or by a brief preceding silence.",Ordinal,Dynamics
37,ENUNCIATION,"Employing a scale of five degrees, this measure evaluates how precisely consonants are articulated in sung texts. It must be borne in mind that, in general, enunciation in singing is bound to be less clear than in speaking.",Ordinal,Articulation
