"","soc_id.ea","xd_id","soc_id.canto","pref_name_for_society","Glottocode","stratification","gender_complementarity","line_23","line_4","line_22","Society_latitude","Society_longitude","line23_col","stratification_col","line4_col","line22_col","gender_col"
"22","Ca40","xd449",10442,"Baditu","koor1239",2,2,1024,8192,8,5.81,37.87,"#5E9AC4","#88C1CA","#C52B2F","#C52B2F","#88C1CA"
"25","Ca7","xd455",10495,"Amhara","amha1245",5,2,128,16,2,11.71,39.54,"#88C1CA","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"26","Ia9","xd749",10506,"Ami","amis1246",1,4,8192,128,2,23.09,121.35,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F1635B"
"27","Ah9","xd336",10528,"Anaguta","igut1238",1,3,8192,16,2,9.89,8.85,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#F6C3C3"
"33","Ei13","xd700",10627,"Angami","anga1288",2,4,16,128,2,26.15,94.56,"#F6C3C3","#88C1CA","#88C1CA","#88C1CA","#F1635B"
"34","Ah16","xd305",10649,"Angas","ngas1240",4,NA,1024,16,2,9.99,8.82,"#5E9AC4","#F1635B","#F6C3C3","#88C1CA",NA
"36","Ad45","xd115",10682,"Nyankole","nyan1307",3,5,8192,8192,1024,-0.46,30.55,"#C52B2F","#F6C3C3","#C52B2F","#5E9AC4","#C52B2F"
"37","Cj10","xd587",10771,"Madan","meso1252",4,NA,2,2,2,33.22,43.67,"#F1635B","#F1635B","#F1635B","#88C1CA",NA
"38","Sg2","xd1384",10814,"Mapuche","mapu1245",2,2,8192,16,2,-40.07,-71.01,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"40","Ch11","xd548",10827,"Russians","russ1263",5,2,1024,16,2,58.41,50.21,"#5E9AC4","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"55","Ai3","xd359",11155,"Azande","zand1248",4,5,1024,8192,1024,4.62,26.72,"#5E9AC4","#F1635B","#C52B2F","#5E9AC4","#C52B2F"
"64","Ae10","xd128",11375,"Banyaruanda","kiny1244",5,5,8192,16,2,-1.57,29.64,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA","#C52B2F"
"71","Ib3","xd752",11507,"Balinese","bali1278",5,1,2,16,2,-8.36,115.08,"#F1635B","#C52B2F","#F6C3C3","#88C1CA","#5E9AC4"
"73","Ag1","xd244",11529,"Bambara","bamb1269",4,2,8192,128,2,12.04,-9.99,"#C52B2F","#F1635B","#88C1CA","#88C1CA","#88C1CA"
"78","Nd63","xd1200",11639,"Bannock","bann1248",1,1,16,16,2,44.51,-111.17,"#F6C3C3","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"80","Cd1","xd507",11683,"Barabra","kenu1236",2,1,128,16,2,22.67,32.19,"#88C1CA","#88C1CA","#F6C3C3","#88C1CA","#5E9AC4"
"81","ch12","xd549",11760,"Bashkir","bash1264",5,NA,8192,16,2,58.82,46.96,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA",NA
"82","Ad46","xd116",11793,"Soga","soga1242",4,5,8192,128,2,0.41,33.39,"#C52B2F","#F1635B","#88C1CA","#88C1CA","#C52B2F"
"84","Ea6","xd605",11826,"Basseri","bass1257",2,2,2,16,2,29.62,52.53,"#F1635B","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"86","Af9","xd243",11870,"Baule","baou1238",1,2,8192,8192,256,7.79,-5.06,"#C52B2F","#5E9AC4","#C52B2F","#F6C3C3","#88C1CA"
"91","Cg5","xd545",11958,"Walloons","wall1255",5,NA,8192,16,2,50.63,4.52,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA",NA
"94","Ef2","xd664",12046,"Bengali","beng1280",5,2,128,16,2,24.01,90.12,"#88C1CA","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"100","Eg8","xd684",12178,"Kol","mund1320",NA,2,16,16,2,22.42,86.34,"#F6C3C3",NA,"#F6C3C3","#88C1CA","#88C1CA"
"103","Sa7","xd1323",12321,"Garifuna","gari1256",1,5,8192,8192,64,15.35,-86.91,"#C52B2F","#5E9AC4","#C52B2F","#F1635B","#C52B2F"
"107","Ch3","xd567",12409,"Czechs","czec1258",5,4,8192,16,2,50.08,14.43,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA","#F1635B"
"112","Ch1","xd546",12563,"Serbs","serb1264",5,4,2,16,2,42.93,17.67,"#F1635B","#C52B2F","#F6C3C3","#88C1CA","#F1635B"
"113","Cf4","xd539",12591,"Brazilians","braz1246",5,2,8192,16,2,-7.71,-42.72,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"118","Ae31","xd151",12662,"Budu","budu1250",1,5,8192,16,2,2.01,27.95,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#C52B2F"
"121","Ch5","xd569",12750,"Bulgarians","bulg1262",5,4,128,16,2,41.61,24.69,"#88C1CA","#C52B2F","#F6C3C3","#88C1CA","#F1635B"
"126","Ih3","xd869",12816,"Bunlap","saaa1241",2,NA,8192,16,2,-15.95,168.26,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA",NA
"127","Ca14","xd420",12838,"Burji","burj1242",1,1,1024,8192,8192,4.45,38.46,"#5E9AC4","#5E9AC4","#C52B2F",NA,"#5E9AC4"
"128","Ei3","xd709",12849,"Burmese","nucl1310",5,2,128,16,2,20.79,93.97,"#88C1CA","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"129","Ee2","xd654",12860,"Burusho","buru1296",5,4,16,16,2,36.22,74.82,"#F6C3C3","#C52B2F","#F6C3C3","#88C1CA","#F1635B"
"134","Ig16","xd848",12931,"Bwaidoga","bwai1242",NA,NA,8192,8192,8,-9.51,150.31,"#C52B2F",NA,"#C52B2F","#C52B2F",NA
"135","Ch6","xd570",12948,"Byelorussians","bela1254",5,2,1024,16,2,53.71,27.95,"#5E9AC4","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"139","Si5","xd1402",13102,"Kamayurá","kama1373",1,2,8192,128,2,-12.27,-53.47,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#88C1CA"
"144","Sj1","xd1407",13168,"Carajá","kara1500",1,NA,8192,16,2,-11.19,-50.35,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA",NA
"145","Na22","xd1025",13190,"Iglulik Inuit","west2618",1,NA,1024,128,2,67.38,-88.01,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA",NA
"150","Sf3","xd1376",13300,"Chachi","chac1249",1,5,1024,16,2,0.71,-79.05,"#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA","#C52B2F"
"156","Ci7","xd583",13476,"Chechen","chec1245",NA,NA,128,16,2,43.41,45.71,"#88C1CA",NA,"#F6C3C3","#88C1CA",NA
"158","Ne5","xd1224",13553,"Cheyenne","chey1247",1,1,128,16,2,45.53,-106.66,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"160","Sb2","xd1327",13597,"Cágaba","cogu1240",2,4,8192,16,2,10.48,-73.25,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA","#F1635B"
"161","Ce6","xd533",13630,"Spaniards","stan1288",5,2,8192,16,2,-35.68,-71.54,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"165","Ed15b","xd643",13668,"Chekiang","wuch1236",5,2,16,16,2,29.02,114.83,"#F6C3C3","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Ng12","xd1247",13773,"Choctaw","choc1276",1,5,8192,16,2,33.91,-94.82,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#C52B2F"
"171","Ac12","xd36",13795,"Chokwe","chok1245",4,5,8192,8192,1024,-9.66,21.41,"#C52B2F","#F1635B","#C52B2F","#5E9AC4","#C52B2F"
"173","Ec3","xd631",13850,"Chukchi","chuk1273",2,2,1024,16,2,68.64,170.04,"#5E9AC4","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"174","ch14","xd551",13883,"Chuvash","chuv1255",2,2,8192,8192,64,55.49,47.16,"#C52B2F","#88C1CA","#C52B2F","#F1635B","#88C1CA"
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Ne3","xd1222",13993,"Comanche","coma1245",1,1,1024,128,2,34.57,-98.42,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"182","Se9","xd1373",14026,"Shipibo-Conibo","ship1254",1,1,1024,8192,2,-7.17,-74.82,"#5E9AC4","#5E9AC4","#C52B2F","#88C1CA","#5E9AC4"
"183","Ij2","xd891",14037,"Māori","maor1246",4,2,8192,8192,256,-21.24,-159.74,"#C52B2F","#F1635B","#C52B2F","#F6C3C3","#88C1CA"
"184","Na3","xd1022",14070,"Copper Inuit","copp1244",1,2,1024,16,2,70.45,-106.42,"#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA","#88C1CA"
"187","Ne19","xd1218",14125,"Plains Cree","plai1258",1,1,128,128,2,51.24,-110.46,"#88C1CA","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"188","Ng3","xd1252",14136,"Muscogee","cree1270",1,5,1024,128,2,35.63,-95.96,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"197","Ng6","xd1255",14422,"Delaware","unam1242",1,5,128,128,2,40.91,-76.38,"#88C1CA","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"201","Nc6","xd1137",14521,"Kumeyaay","kumi1248",1,6,8192,128,2,32.61,-117.03,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA",NA
"202","Nh20","xd1271",14521,"Kamia","kumi1248",1,4,8192,128,2,32.61,-117.03,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F1635B"
"207","Ig5","xd857",14664,"Dobuans","dobu1241",1,4,8192,128,2,-9.57,150.67,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F1635B"
"209","Ca28","xd435",14694,"Basketo","bask1236",4,2,8192,8192,8192,6.46,36.58,"#C52B2F","#F1635B","#C52B2F",NA,"#88C1CA"
"214","Ca41","xd450",14774,"Dorse","dorz1235",2,5,8192,8192,8192,6.25,37.56,"#C52B2F","#88C1CA","#C52B2F",NA,"#C52B2F"
"220","Cg1","xd541",14851,"Dutch","dutc1256",5,2,8192,128,2,52.13,5.29,"#C52B2F","#C52B2F","#88C1CA","#88C1CA","#88C1CA"
"222","Cd2","xd518",14994,"Egyptians","egyp1253",5,2,16,16,2,31.11,30.53,"#F6C3C3","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"229","ch16","xd553",15181,"Estonians","esto1258",5,2,1024,16,2,58.59,25.01,"#5E9AC4","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"232","Af42","xd222",15280,"Fante","fant1241",4,4,8192,8192,64,5.13,-1.27,"#C52B2F","#F1635B","#C52B2F","#F1635B","#F1635B"
"239","Af1","xd186",15390,"Fon","fonn1241",4,5,8192,128,2,7.15,1.66,"#C52B2F","#F1635B","#88C1CA","#88C1CA","#C52B2F"
"240","Ie31","xd809",15401,"Fore","fore1270",2,5,8192,128,2,-6.52,145.62,"#C52B2F","#88C1CA","#88C1CA","#88C1CA","#C52B2F"
"241","Aa5","xd5",15412,"Mbuti","bila1255",1,2,8192,8192,8192,1.17,28.76,"#C52B2F","#5E9AC4","#C52B2F",NA,"#88C1CA"
"242","Ae30","xd150",15412,"Bira","bila1255",1,NA,8192,8192,8192,1.17,28.76,"#C52B2F","#5E9AC4","#C52B2F",NA,NA
"245","Cf5","xd540",15489,"French Canadians","queb1247",5,2,8192,16,2,49.57,-74.84,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"251","Cb17","xd466",15566,"Fur","furr1244",4,4,128,1024,2,12.05,23.64,"#88C1CA","#F1635B","#5E9AC4","#88C1CA","#F1635B"
"252","Ae9","xd185",15577,"Fut","bafu1246",4,5,8192,8192,2,6.14,10.12,"#C52B2F","#F1635B","#C52B2F","#88C1CA","#C52B2F"
"253","Ie25","xd802",15610,"Mafulu","fuyu1242",2,3,128,16,2,-8.82,146.53,"#88C1CA","#88C1CA","#F6C3C3","#88C1CA","#F6C3C3"
"258","Ei1","xd696",15709,"Garo","garo1247",2,3,8192,16,2,24.98,92.01,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA","#F6C3C3"
"273","Ec1","xd617",15907,"Nivkh","gily1242",1,1,1024,16,2,52.59,140.68,"#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"274","Af56","xd237",15929,"Ngere","dann1241",NA,5,8192,8192,8192,7.23,-8.25,"#C52B2F",NA,"#C52B2F",NA,"#C52B2F"
"275","Sb6","xd1331",15973,"Wayuu","wayu1243",2,3,8192,16,2,10.23,-71.81,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA","#F6C3C3"
"278","Ad24","xd92",15995,"Gogo","gogo1263",4,5,8192,8192,256,-6.36,35.48,"#C52B2F","#F1635B","#C52B2F","#F6C3C3","#C52B2F"
"284","Na24","xd1040",16127,"Tasiilaq","tunu1234",1,1,8192,16,2,69.38,-52.86,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"288","Sc4","xd1347",16193,"Guahibo","guah1255",1,2,1024,1024,2,5.82,-68.98,"#5E9AC4","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"290","Ch8","xd572",16363,"Magyar","hung1274",5,2,8192,16,2,47.16,19.51,"#C52B2F","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"294","Sb9","xd1334",16446,"Haitians","hait1244",5,2,8192,128,2,18.97,-72.28,"#C52B2F","#C52B2F","#88C1CA","#88C1CA","#88C1CA"
"297","Ca19","xd425",16479,"Banna","hame1242",1,1,1024,1024,8192,5.07,36.52,"#5E9AC4","#5E9AC4","#5E9AC4",NA,"#5E9AC4"
"298","Ca21","xd428",16479,"Hamar","hame1242",1,1,1024,1024,8192,5.07,36.52,"#5E9AC4","#5E9AC4","#5E9AC4",NA,"#5E9AC4"
"300","Ia5","xd745",16545,"Hanunoo","hanu1241",1,4,128,16,2,12.42,121.22,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#F1635B"
"301","Aa9","xd9",16578,"Hadza","hadz1240",1,6,8192,8192,1024,-3.83,35.05,"#C52B2F","#5E9AC4","#C52B2F","#5E9AC4",NA
"302","Cb1","xd458",16589,"Maguzawa","kano1249",4,NA,128,16,2,11.15,8.78,"#88C1CA","#F1635B","#F6C3C3","#88C1CA",NA
"303","Cb9","xd486",16589,"Hausa Kanawa","kano1249",4,2,128,16,2,11.15,8.78,"#88C1CA","#F1635B","#F6C3C3","#88C1CA","#88C1CA"
"304","Nd3","xd1163",16600,"Havasupai","hava1249",1,2,1024,16,2,35.63,-113.39,"#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA","#88C1CA"
"305","Ij6","xd895",16611,"Hawaiians","hawa1245",4,1,8192,16,2,19.63,-155.43,"#C52B2F","#F1635B","#F6C3C3","#88C1CA","#5E9AC4"
"307","Ad42","xd112",16633,"Haya","haya1250",4,5,128,8192,8,-1.71,31.48,"#88C1CA","#F1635B","#C52B2F","#C52B2F","#C52B2F"
"308","Ea3","xd602",16644,"Hazara","haza1239",2,NA,2,1024,2,33.98,65.88,"#F1635B","#88C1CA","#5E9AC4","#88C1CA",NA
"311","Ad8","xd125",16688,"Hehe","hehe1240",4,5,8192,8192,2,-7.77,35.71,"#C52B2F","#F1635B","#C52B2F","#88C1CA","#C52B2F"
"312","Ac36","xd62",16710,"Tumbuka","tumb1250",4,5,8192,8192,1024,-11.33,33.37,"#C52B2F","#F1635B","#C52B2F","#5E9AC4","#C52B2F"
"314","Ab1","xd10",16787,"Herero","here1253",2,4,8192,8192,8192,-19.41,13.91,"#C52B2F","#88C1CA","#C52B2F",NA,"#F1635B"
"315","Ef11","xd663",16792,"Uttar Pradesh","bhoj1244",4,1,128,16,2,31.11,77.17,"#88C1CA","#F1635B","#F6C3C3","#88C1CA","#5E9AC4"
"316","Ec7","xd635",16809,"Ainu","ainu1240",1,3,2,8192,2,43.06,141.35,"#F1635B","#5E9AC4","#C52B2F","#88C1CA","#F6C3C3"
"318","Nh18","xd1268",16831,"Hopi","hopi1249",1,1,1024,128,2,35.87,-110.62,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"319","Ed10","xd639",16869,"Shantung","mand1415",5,4,16,16,2,35.95,103.28,"#F6C3C3","#C52B2F","#F6C3C3","#88C1CA","#F1635B"
"320","Ni3","xd1288",16875,"Huichol","huic1243",2,2,8192,16,2,21.95,-104.06,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"322","Nb35","xd1096",16930,"Hupa","hupa1239",2,2,16,8192,256,41.12,-123.68,"#F6C3C3","#88C1CA","#C52B2F","#F6C3C3","#88C1CA"
"323","Ie35","xd813",16963,"Iatmul","iatm1242",1,4,8192,8192,2,-4.31,143.32,"#C52B2F","#5E9AC4","#C52B2F","#88C1CA","#F1635B"
"324","Ib1","xd750",16974,"Iban","iban1264",1,4,128,16,2,1.59,110.27,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#F1635B"
"325","Af10","xd187",16996,"Igbo","nucl1417",1,5,8192,16,2,4.63,7.23,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#C52B2F"
"330","Eg10","xd673",17183,"Telugu","telu1262",5,2,2,16,2,14.79,77.26,"#F1635B","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"334","Na43","xd1060",17234,"Netsilik","nets1241",1,2,8192,8192,8192,68.53,-89.83,"#C52B2F","#5E9AC4","#C52B2F",NA,"#88C1CA"
"354","Ib2","xd751",17557,"Javanese","java1254",5,3,2,16,2,-6.27,106.79,"#F1635B","#C52B2F","#F6C3C3","#88C1CA","#F6C3C3"
"363","Eg7","xd683",17689,"Hill Bhuiya","oriy1255",NA,4,128,1024,2,28.02,76.78,"#88C1CA",NA,"#5E9AC4","#88C1CA","#F1635B"
"366","Ag49","xd287",17755,"Kabre","kabi1261",1,5,8192,128,2,8.97,0.82,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#C52B2F"
"367","Cd4","xd522",17766,"Kabyle","kaby1243",1,4,128,16,2,36.7,4.05,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#F1635B"
"376","Ef8","xd670",18173,"Kashmiri","kash1277",5,2,16,2,2,34.17,74.33,"#F6C3C3","#C52B2F","#F1635B","#88C1CA","#88C1CA"
"378","Eb1","xd609",18294,"Kazakh","kaza1248",4,2,1024,16,2,41.87,65.77,"#5E9AC4","#F1635B","#F6C3C3","#88C1CA","#88C1CA"
"379","Ic8","xd770",18305,"Kei","keii1239",1,NA,128,128,2,-5.64,133.02,"#88C1CA","#5E9AC4","#88C1CA","#88C1CA",NA
"381","Eg6","xd682",18371,"Kerala","mala1464",5,2,16,16,2,10.85,76.27,"#F6C3C3","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"382","Ec8","xd636",18393,"Ket","kett1243",1,1,8192,16,2,63.76,87.55,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"386","Ne17","xd1216",18569,"Kiowa","kiow1266",1,1,1024,128,2,34.94,-98.91,"#5E9AC4","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"387","Aj9","xd414",18591,"Kipsigis","kips1239",1,3,8192,8192,8,-0.36,35.26,"#C52B2F","#5E9AC4","#C52B2F","#C52B2F","#F6C3C3"
"394","Ca1","xd415",18888,"Konso","kons1243",2,4,8192,8192,8,5.39,37.53,"#C52B2F","#88C1CA","#C52B2F","#C52B2F","#F1635B"
"397","Ec5","xd633",18976,"Koryak","kory1246",2,2,1024,16,2,63.91,166.69,"#5E9AC4","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"401","Eg11","xd674",19031,"Koya","koya1251",NA,NA,1024,128,2,17.68,81.21,"#5E9AC4",NA,"#88C1CA","#88C1CA",NA
"403","Sj4","xd1412",19064,"Canela","cane1242",1,5,8192,8192,256,-5.47,-46.17,"#C52B2F","#5E9AC4","#C52B2F","#F6C3C3","#C52B2F"
"406","Si10","xd1398",19141,"Kuikuru","kuik1246",1,2,8192,128,2,-12.1,-53.29,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#88C1CA"
"411","Cb2","xd469",19295,"Wolof","nucl1347",5,2,2,1024,2,14.91,-12.44,"#F1635B","#C52B2F","#5E9AC4","#88C1CA","#88C1CA"
"414","Ad41","xd111",19377,"Vugusu","buku1249",2,5,8192,8192,8,0.68,34.77,"#C52B2F","#88C1CA","#C52B2F","#C52B2F","#C52B2F"
"415","Nd7","xd1205",19394,"Kutenai","kute1249",1,1,8192,128,2,48.79,-115.06,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#5E9AC4"
"417","Nb3","xd1090",19460,"Kwakwaka'wakw","kwak1269",4,2,128,16,2,50.93,-127.31,"#88C1CA","#F1635B","#F6C3C3","#88C1CA","#88C1CA"
"419","Sa10","xd1310",19526,"Lacandon","laca1243",1,1,8192,16,2,16.41,-92.41,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"422","Ac33","xd59",19614,"Lala","lala1264",4,5,8192,16,2,-12.95,30.23,"#C52B2F","#F1635B","#F6C3C3","#88C1CA","#C52B2F"
"429","Ai29","xd358",19801,"Lendu","lend1245",1,4,8192,16,2,1.57,30.23,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#F1635B"
"430","Ai30","xd360",19856,"Lese","lese1243",1,5,8192,8192,8192,1.55,28.44,"#C52B2F","#5E9AC4","#C52B2F",NA,"#C52B2F"
"431","Ed9","xd652",19889,"Li","hlai1239",2,3,128,16,2,19.21,109.71,"#88C1CA","#88C1CA","#F6C3C3","#88C1CA","#F6C3C3"
"435","Ed2","xd645",20032,"Lolo","sich1238",4,4,1024,128,2,30.13,102.93,"#5E9AC4","#F1635B","#88C1CA","#88C1CA","#F1635B"
"437","Ab3","xd26",20098,"Lozi","lozi1239",4,5,8192,8192,2,-14.64,24.95,"#C52B2F","#F1635B","#C52B2F","#88C1CA","#C52B2F"
"439","Ae16","xd134",20131,"Lulua","luba1249",NA,NA,8192,8192,1024,-4.31,27.24,"#C52B2F",NA,"#C52B2F","#5E9AC4",NA
"443","Ac6","xd72",20230,"Ndembu","lund1266",NA,5,8192,8192,256,-11.18,23.97,"#C52B2F",NA,"#C52B2F","#F6C3C3","#C52B2F"
"444","Aj6","xd411",20241,"Luo","luok1236",2,4,8192,16,2,-0.93,34.49,"#C52B2F","#88C1CA","#F6C3C3","#88C1CA","#F1635B"
"445","Ac11","xd35",20252,"Luvale","luva1239",1,2,8192,8192,1024,-13.55,23.11,"#C52B2F","#5E9AC4","#C52B2F","#5E9AC4","#88C1CA"
"456","Ai5","xd379",20681,"Mamvu","mamv1243",1,5,8192,16,2,2.68,28.99,"#C52B2F","#5E9AC4","#F6C3C3","#88C1CA","#C52B2F"
"457","Ed3","xd646",20714,"Manchu","manc1252",2,2,128,16,2,47.31,126.56,"#88C1CA","#88C1CA","#F6C3C3","#88C1CA","#88C1CA"
"458","Ij7","xd896",20758,"Mangarevans","mang1401",4,2,8192,128,2,-23.11,-134.97,"#C52B2F","#F1635B","#88C1CA","#88C1CA","#88C1CA"
"471","Ai9","xd383",20945,"Masa","masa1322",1,4,8192,128,2,7.65,16.73,"#C52B2F","#5E9AC4","#88C1CA","#88C1CA","#F1635B"
"472","Aj2","xd395",20956,"Maasi","masa1300",1,3,8192,8192,8,-3.14,36.46,"#C52B2F","#5E9AC4","#C52B2F","#C52B2F","#F6C3C3"
"474","Ig2","xd852",20978,"Trobriands","kili1267",4,3,1024,8192,8,-9.52,150.67,"#5E9AC4","#F1635B","#C52B2F","#C52B2F","#F6C3C3"
