,soc_id,culture,lat,lng,cv_4
120,2168,Bara,46.12,-22.4,0.54
121,1647,Tanala,47.63,-21.3,1.0
122,2103,Tandroy,47.11,-16.53,1.0
123,1644,Mahafaly,44.31,-23.72,1.0
124,30084,Mikea,47.53,-18.9,1.0
125,3217,Hadimu,29.66,-4.88,0.54
126,2025,Nuer,33.0,7.78,0.31
127,2050,Dinka,33.0,7.78,0.54
128,1729,Pari,32.45,5.04,0.54
129,2058,Shilluk,31.66,9.52,0.54
130,3230,Halfa-Assuan Nubians,31.61,22.34,0.31
131,30007,Sara Nar,17.36,8.69,0.54
132,4173,Zaghawa,30.21,12.86,0.77
133,4197,Fur,23.47,12.89,0.77
134,4194,Hjare,29.71,11.01,0.31
135,4192,Katch,29.41,11.19,0.54
136,4188,Mirri,29.71,11.01,0.77
137,4185,Salar,30.75,12.0,0.54
138,4177,Talodi,30.38,10.63,0.31
139,9926,Gourara Berbers,0.22,29.26,1.0
140,9932,Sudanese Gourara,0.22,29.26,1.0
141,699,Kabyle,-0.62,35.7,0.31
142,698,Moroccan Berbers,-6.93,31.43,0.54
143,1588,Shilha,-8.97,29.71,0.54
144,9602,Moroccan Tuareg,-10.05,28.98,0.31
145,702,Tuareg,5.53,23.28,0.31
146,2411,Lozi,26.5,-18.35,1.0
147,262,Tonga (Zambia & Zimbabwe),28.92,-15.94,0.54
148,273,Xhosa Ngqika,27.42,-32.89,1.0
149,272,Xhosa,28.5,-32.26,1.0
150,266,Chopi,34.74,-24.71,1.0
151,287,Zulu,31.46,-28.22,1.0
152,276,Pondo Xhosa,29.56,-31.36,0.31
153,267,Ndau,32.71,-20.45,0.31
154,261,Ngoni Zulu,30.71,-14.48,1.0
155,278,Sotho,28.8,-30.36,1.0
156,1519,Nsenga,30.71,-14.48,1.0
157,271,Thembu Xhosa,28.77,-31.6,1.0
158,2678,Shona Karanga,32.67,-18.88,1.0
159,243,Juǀʼhoansi,21.09,-25.59,1.0
160,30045,Khwe,22.44,-19.31,0.54
161,30129,Himba,13.91,-19.4,1.0
162,30171,Ewe,-0.18,5.6,0.54
163,452,Fon,1.99,7.18,0.54
164,9248,Kabiyé,0.82,8.61,0.54
165,30153,Ashanti,-1.99,6.74,1.0
166,8014,Ghana: Urban,-1.61,6.66,1.0
167,30157,Fante,-1.27,5.13,1.0
168,214,Dogon,-3.32,14.42,0.54
169,225,Malinke,-9.47,7.0,0.31
170,461,Loma,-9.63,7.61,1.0
171,3600,Bambara,-8.0,12.63,0.54
172,1943,Hausa Kanawa,8.52,11.74,0.31
173,4285,Hausa Unspecified,8.85,9.89,0.42
174,1938,Hausa Zazzagawa,7.71,11.08,0.31
175,457,Baoulé,-5.28,7.44,1.0
176,4313,Bankalawa Jarawa,9.82,10.3,0.31
177,4279,Tiv,8.85,9.89,0.31
178,2194,Igbo,6.85,5.85,0.31
179,4275,Anaguta,8.85,9.89,0.31
180,4284,Angas,8.85,9.89,0.31
181,3432,Yoruba,3.85,6.77,0.54
182,224,Dan,-10.75,6.41,1.0
183,9214,Kru,-8.22,4.76,0.08
184,2464,Mende,-11.19,7.86,0.54
185,460,Kpelle,-9.47,6.99,1.0
186,706,Wolof,-17.45,14.68,0.31
187,1640,Jola-Fonyi,-16.26,12.56,1.0
188,610,British Australians,151.6,-32.96,0.31
189,1221,Gaagudju,130.7,-12.53,0.31
190,1227,Yolngu,136.89,-12.25,0.54
191,9370,Yolngu2,132.01,-12.81,0.31
192,3351,Yolngu1,134.58,-12.72,0.31
193,1218,Jawoyn,134.92,-12.62,0.54
194,1217,Gunbalang,134.92,-12.62,0.54
195,1207,"Iwaidja, M",134.92,-12.62,0.54
196,1225,Kunwinjku,134.92,-12.62,0.31
197,1220,Maung,134.92,-12.62,0.31
198,1219,Tunuvivi,131.03,-11.52,0.31
199,1214,Wadjiginy,130.7,-12.53,0.31
200,1208,Magatige,130.86,-12.37,0.31
201,9334,Yidinji,146.0,-16.93,0.31
202,9192,Dauanalgal,143.77,-9.57,0.0
203,2925,Saibai Islanders,142.69,-9.4,1.0
204,2923,Murray Islanders,144.04,-9.91,1.0
205,36,Amangu,132.0,-26.5,0.31
206,98,Njangumarda Kundal; Njangumarda Iparuka,116.6,-20.95,0.54
207,3566,Yindjibarndi,115.1,-21.66,0.54
208,481,Garifuna,-85.95,15.91,1.0
209,9191,Emberá,-76.82,5.25,0.0
210,2182,Guna,-78.82,9.57,0.31
211,9453,Honduras,-86.86,14.06,0.0
212,9851,Miskito,-83.77,12.01,0.31
213,3855,Waunana,-76.82,5.25,0.31
214,1051,Anguilla,-62.98,18.21,1.0
215,1171,St. Kitts and Nevis,-63.09,18.19,1.0
216,1112,Guadeloupe,-61.43,16.31,0.54
217,1031,St. Barthélemy,-62.85,17.91,0.31
218,493,Virgin Islands,-64.89,18.33,0.31
219,1068,Dominica,-61.39,15.36,0.54
220,480,Carriacou,-61.44,12.47,0.54
221,595,Grenada,-61.61,12.22,1.0
222,1109,St. Lucia,-61.03,13.94,0.54
223,1328,Indo-Trinidad,-61.43,10.16,0.54
224,4262,Lopinot,-61.22,10.69,0.31
225,1110,Tobago,-60.62,11.21,1.0
226,1372,Toco,-60.94,10.83,0.31
227,1356,Trinidad,-61.34,10.25,1.0
228,1251,Trinidad Creole,-61.55,10.73,1.0
229,1179,Martinique Rural,-60.86,14.46,0.54
230,1123,Martinique Urban Creole,-60.89,14.6,0.31
231,3080,Purépecha,-102.04,19.64,1.0
232,691,Hidalgo,-98.75,20.1,1.0
233,158,Otomi,-98.2,20.4,0.0
234,692,Michoacan,-102.7,19.8,0.0
235,9180,Morelos,-98.98,18.96,0.0
236,9485,San Luis Potosí,-99.0,22.0,0.31
237,20466,Mexico City,-99.13,19.43,0.0
238,3651,Totonac,-96.13,19.17,0.54
239,3075,Veracruz,-95.65,18.61,1.0
240,2974,Rarámuri,-106.06,28.63,0.31
241,2950,Seri,-110.33,29.29,0.31
242,164,Yaqui,-109.93,27.49,0.31
243,159,Chamula Tzotzil,-92.68,16.78,1.0
244,9195,Venustiano Carranza Tzotzil,-92.56,16.33,0.0
245,4329,Zinacantan Tzotzil,-92.71,16.75,0.54
246,156,Lacandon,-92.63,16.73,0.31
247,20469,Mérida,-89.59,20.96,0.0
248,3187,Yucatan Maya,-88.2,20.68,0.31
249,695,Guerrero,-99.5,17.55,1.0
250,9174,Mixtec,-96.72,17.07,0.31
251,20467,Zapotec,-96.72,17.07,0.0
252,3741,Popoluca,-96.13,19.17,1.0
253,796,Mazateco,-96.84,18.13,0.31
254,8016,Jalisco,-103.18,20.3,0.0
255,2656,Cora,-104.93,22.03,0.31
256,154,Wixáritari,-103.42,20.65,0.31
257,482,Afro-Cuban,-82.24,23.1,0.0
258,1614,Havana Folk,-82.36,23.11,0.31
259,3039,Haiti,-72.3,18.59,0.54
260,483,Jamaican,-76.43,17.97,1.0
261,687,Jibaro/ Boriqua,-66.1,18.46,1.0
262,494,Andros,-78.01,24.7,1.0
263,717,Bukharan Jews,66.97,39.62,0.08
264,731,Bukharan Uzbeks,64.45,39.76,0.31
265,1536,Kyrgyz,76.85,43.22,0.31
266,733,Uzbeks,66.97,39.62,0.31
267,9039,Chahar,111.73,40.84,0.88
268,20483,Kēěrkèzī zú,87.61,43.82,0.0
269,9076,Uyghur,87.61,43.67,0.31
270,1540,Kazakh Steppe Nomads,76.85,43.22,0.31
271,9171,Mongols,106.9,47.88,0.31
272,3161,Tuvan,92.67,48.44,0.31
273,2848,Buryat,112.4,54.83,0.31
274,962,Tadjik,64.77,35.91,0.31
275,966,Hazara,67.82,34.81,0.77
276,9399,Badakhshan,70.81,36.73,0.0
277,1815,Turkmen,58.32,37.96,0.31
278,2649,Buzawa Kalmyks,45.0,46.18,0.31
279,2658,Torghut Kalmyks,45.0,46.18,0.77
280,9057,C Chinese Village,110.74,31.34,0.31
281,9063,Wuhu,118.57,31.13,0.54
282,9060,Lower Yangtze,119.36,33.24,0.31
283,1483,Suzhou,120.58,31.29,0.31
284,1570,Shanghai Folk,121.47,31.23,0.31
285,1564,Hangzhou,120.15,30.27,0.54
286,1568,Beijing Folk,116.4,39.9,0.31
287,365,Chinese Urban Elite,117.92,35.89,0.31
288,9025,Shandong,117.12,36.65,0.54
289,20476,N China Buddhist Monastics,113.56,39.07,0.0
290,9022,Hui,103.28,35.95,0.31
291,9040,Yugur,99.61,38.83,0.31
292,9027,N W Chinese Folk,110.49,38.01,0.08
293,9005,Zhuang,108.36,22.81,1.0
294,9001,Dong,106.63,26.64,1.0
295,9072,Maonan,108.36,22.81,1.0
296,9070,Mulam,108.36,22.81,1.0
297,1582,Hakka,113.76,23.37,0.31
298,9059,Jiangxi,114.9,27.08,0.77
299,9029,Cantonese Folk,113.26,23.12,0.31
300,9016,She,108.36,22.81,1.0
301,1573,Sichuan,102.8,30.26,0.31
302,9013,Miao (China),108.36,22.81,0.31
303,9052,Pumí,100.22,26.85,0.31
304,9053,Blang,100.79,22.0,0.31
305,9051,Lahu (China),103.37,23.36,0.54
306,1481,S W Chinese Village,101.34,24.47,0.31
307,20489,Amdo,103.83,36.06,0.0
308,9047,Bai,102.83,24.88,0.31
309,9067,Bouyei,108.36,22.81,0.08
310,9049,Yi,108.36,22.81,0.54
311,9045,Naxi,108.36,22.81,1.0
312,372,Chubu,138.33,38.04,0.31
313,376,Kanto,139.7,35.75,0.31
314,375,Tokyo,139.65,35.67,0.31
315,1233,Sakata,139.81,38.93,0.31
316,370,Tohoku,140.38,40.8,0.31
317,385,Amami,128.82,27.7,0.31
318,384,Naha-shi,127.72,26.21,0.31
319,1249,Zen,136.21,35.89,0.31
320,378,Shikoku,133.53,34.37,0.77
321,374,Chugoku ,133.52,34.78,0.54
322,373,Okayama,133.91,34.65,0.31
323,383,Kyushu,130.44,33.59,0.31
324,379,Urban Kyushu,130.7,32.8,0.31
325,776,Urban S Korea,126.97,37.56,0.31
326,367,Village S Korea,126.97,37.56,0.31
327,2303,Austrian Tyrol ,12.39,47.44,0.31
328,1619,Bayern (Bavarians),11.49,48.79,1.0
329,3260,Trentino Alto Adige,11.66,46.37,1.0
330,335,Alpine Swiss,8.04,46.62,1.0
331,516,Moravian,16.6,49.19,0.31
332,1622,Carpathian Germans,23.84,48.38,0.31
333,509,Carpathian Slovakia,20.13,49.16,0.54
334,508,Carpathian Slovakian,20.13,49.16,1.0
335,520,Bohemian,13.37,49.73,0.31
336,1637,Lothringen,6.31,50.82,0.31
337,1625,Baden-Württemberg,8.5,48.34,0.31
338,8019,Bavaria Munich High Germany,16.35,48.22,0.08
339,1633,Deggendorf,13.05,48.78,1.0
340,1626,Lower Saxony ,9.69,54.51,0.31
341,1618,Palatine,7.3,50.11,0.54
342,1621,Rhine-Westphalia,6.91,51.88,0.31
343,9361,Ecclesiatic N Germans,8.04,50.66,0.0
344,1616,Urban E Germans,12.37,51.33,1.0
345,1617,Schleswig-Holstein,10.88,54.29,0.54
346,9764,Hungarian Roma,20.69,48.29,0.31
347,343,Hungary Folk,19.36,47.6,0.31
348,1635,Tolna,18.55,46.47,0.31
349,510,Slovakia,18.9,48.44,0.31
350,527,Slovakian,18.9,48.44,1.0
351,1629,Kranjska,14.29,46.31,0.31
352,529,Belarus,28.33,57.81,0.31
353,528,C Polish Folk,21.76,49.68,1.0
354,1631,Danzig,18.64,54.35,0.31
355,533,Ukrainian,30.52,50.45,1.0
356,342,Estonian,25.58,58.36,0.31
357,2386,Finnish,29.52,64.12,0.31
358,584,Karelia,32.0,63.0,0.31
359,4055,Latvian,24.81,56.71,1.0
360,9165,Lithuanian Folk,24.98,55.83,1.0
361,538,Žemaitija,22.01,56.32,0.31
362,546,Danish,9.97,56.65,0.31
363,3882,Faroe Islands,-6.77,62.01,0.54
364,542,Norwegian,7.72,58.92,0.31
365,9479,Swedish,14.66,61.09,0.54
366,3506,Smolenskaya,32.66,54.98,0.31
367,4116,Kursk,37.45,50.71,1.0
368,3416,Vladimir,41.96,55.74,0.31
369,3504,Bryanskaya,32.75,52.58,1.0
370,9107,Urals,41.42,52.64,0.0
371,4402,Stavropol,43.52,44.66,0.88
372,4021,Komi,43.39,64.7,0.31
373,4026,Komi-Izhemtsi,54.83,63.86,0.31
374,8012,St. Petersburg 19th c,30.36,59.93,0.0
375,3413,Bashkirs,56.16,54.23,0.31
376,3694,Chuvash,54.27,53.69,1.0
377,4025,Perm,55.67,58.0,1.0
378,947,Mari,47.86,56.63,0.31
379,4156,Mordovian,44.06,54.23,1.0
380,1630,Rothammel German,66.27,56.61,0.31
381,3417,W Kazakhstan,51.38,51.22,1.0
382,536,Samara,50.22,53.24,1.0
383,3691,Volga Tatars,59.16,60.27,0.31
384,4023,Vologda,39.88,59.22,0.31
385,3415,Kirovskaya,49.99,57.11,0.31
386,9349,Ghegs,19.59,41.87,0.31
387,502,Aromanian,28.21,43.81,1.0
388,350,Bosnia,17.73,44.24,0.31
389,359,N Bulgaria,26.93,43.27,0.31
390,356,Pirin,23.97,41.61,0.0
391,360,Rhodope,24.7,41.57,0.31
392,783,Dobrudzha,28.53,43.53,0.31
393,357,Sofia District,23.08,42.33,1.0
394,9494,Croatian Istria,13.85,45.08,1.0
395,353,N Croatia,17.64,44.22,1.0
396,9238,Slavonia,17.81,45.34,1.0
397,2358,Strpci,19.48,43.63,0.54
398,2368,Dragas,20.65,42.06,1.0
399,349,Montenegro,18.91,42.39,0.54
400,345,Slavic Macedonian,20.52,41.51,0.31
401,9443,Greek Macedonian,21.32,41.02,0.31
402,3955,Arges,24.37,44.43,0.31
403,958,Banat,22.1,44.95,0.08
404,500,Bucharest,26.65,44.5,0.54
405,503,Cluj,24.75,47.31,0.31
406,505,Crişana,21.9,46.72,0.31
407,504,Hunedoara,22.52,46.06,0.31
408,9407,Maramureș,23.49,47.92,0.77
409,9134,Muntenia,26.03,44.93,0.0
410,507,Oltenia,23.2,45.09,0.31
411,347,Kumane,20.21,45.53,0.31
412,346,Kruševica,22.19,42.99,1.0
413,9492,Serbia,22.12,43.41,1.0
414,348,Vasilj,22.13,43.56,0.54
415,30671,Greek Orthodox Monastics,21.63,39.72,0.0
416,9430,Umbria-Marche,13.21,43.37,1.0
417,928,Segovia,-4.33,40.8,0.31
418,917,La Mancha,-3.92,38.98,0.31
419,923,Oropesa,-5.2,39.9,0.31
420,1720,Crete,24.28,35.27,0.31
421,637,Naxos,25.52,37.07,0.31
422,663,Ibiza,1.29,38.92,0.31
423,661,Mallorca,2.62,39.71,0.08
424,664,Valencia,-0.26,39.07,0.31
425,623,Friuli,13.23,46.07,1.0
426,621,Chioggia,12.27,45.21,0.31
427,912,Aragon,-0.44,40.97,0.31
428,8020,Emilia-Romagna,10.49,44.34,0.08
429,656,Asturias,-5.66,43.53,0.31
430,658,Spanish Basques,-1.91,43.03,1.0
431,9121,Cantabria,-4.4,43.09,0.54
432,639,Greek Epirus,20.76,39.57,0.31
433,615,Genoa,8.03,43.88,1.0
434,617,Cuneo,7.42,45.73,1.0
435,653,Galicia,-9.19,42.94,0.54
436,676,Leon,-6.05,42.45,0.54
437,3589,Inner Mani,22.39,36.54,0.54
438,641,Kalamata,22.35,37.34,0.0
439,642,Duoro,-8.59,40.97,1.0
440,645,Algarve,-7.93,37.01,0.31
441,649,Tras-Os-Montes,-7.66,41.79,0.31
442,583,Gargano,15.77,41.82,0.31
443,624,Salento S Puglia,18.17,40.35,1.0
444,667,Murcia,-1.13,37.99,0.31
445,1259,Haute Corse,9.26,42.36,0.31
446,632,Lucania,16.45,40.49,0.08
447,9344,Lettino,14.25,41.45,0.31
448,9256,Feroleto Antico,16.38,39.96,1.0
449,9241,Arbëreshë,16.26,39.83,1.0
450,9433,Caggiano,15.49,40.56,0.31
451,3001,Capri,14.22,40.55,0.54
452,9278,Montepertuso,14.5,40.62,0.08
453,3002,Naples & Coast,14.26,40.85,0.31
454,634,Vibo Valentia,16.11,38.71,1.0
455,668,Cadiz,-6.28,36.52,0.31
456,1958,Granada,-3.59,37.17,0.31
457,669,Seville,-5.98,37.38,0.31
458,1258,French Basques,-1.58,43.31,0.31
459,613,Barbagia,9.32,40.32,1.0
460,612,Cagliari,9.11,39.22,0.31
461,636,Canicattì,13.85,37.35,0.31
462,2844,Enna,14.39,37.74,0.31
463,2841,Catania,15.08,37.5,0.31
464,635,Bagheria,13.51,38.07,0.31
465,9106,Trapani,12.53,38.01,0.31
466,638,Pontos,2.91,42.18,0.31
467,816,Thrace,25.55,41.93,0.31
468,672,Extremadura,-5.87,39.45,0.54
469,2305,Perthshire,-3.46,56.8,0.31
470,558,Norfolk,1.53,52.74,0.31
471,557,Suffolk,1.45,52.16,0.54
472,2304,Aberdeen,-2.09,57.14,0.31
473,9401,Aran Islands,-9.77,53.14,0.08
474,811,Cork,-8.95,51.9,0.31
475,9378,Donegal,-8.22,55.04,0.0
476,556,Dublin,-8.03,53.92,0.31
477,788,Galway,-9.05,53.27,0.31
478,569,Nederlanders,4.47,51.92,0.54
479,565,Walloon,4.45,50.41,0.31
480,548,Lowland Scotland,-2.38,57.42,0.31
481,71,Paris,2.35,48.85,0.08
482,2308,Durham Pitmen,-1.57,54.89,0.54
483,559,Newcastle,-1.66,55.0,0.31
484,790,Leitrim,-7.86,53.92,0.31
485,568,Ulster,-5.93,54.59,0.31
486,578,Brittany,-1.55,47.21,0.31
487,978,Normandy,-0.68,48.78,0.08
488,784,Shetlands,-1.14,60.15,0.31
489,976,Auvergne,4.03,45.2,0.31
490,560,Sussex,-0.05,50.8,1.0
491,562,Bristol,-2.58,51.45,0.54
492,564,S W England,-3.22,50.71,0.31
493,2637,Berry,2.0,47.0,0.31
494,577,Vendée,-1.13,46.68,0.31
495,785,Wales,-3.22,59.06,0.31
496,1711,Barra,-7.46,56.98,0.54
497,547,South Uist,-7.33,57.26,0.54
498,2663,Acadien,-63.74,44.68,0.31
499,9317,Newfoundlander,-57.66,53.13,0.31
500,585,British Canadian,-60.85,46.24,0.31
501,9831,Netsilik,-79.22,56.54,0.31
502,1656,Inuinnait,-101.5,68.83,0.31
503,184,Nehiyaw (Plains Cree),-108.91,53.45,0.54
504,1669,Káínawa,-113.3,49.19,0.54
505,588,French Canadians,-64.48,48.83,0.31
506,201,Kivallirmiut,-84.13,64.59,0.54
507,9826,Nunatsiaqmiut,-76.54,64.23,1.0
508,9832,Nunavimmiut,-70.02,60.02,0.31
509,1501,Haida,-132.0,53.0,0.54
510,200,Kwakwa̱ka̱’wakw,-125.44,49.65,0.31
511,1513,Tsimshian,-121.35,61.86,0.31
512,2960,Nuu-chah-nulth,-124.8,49.23,0.54
513,334,Canadian Mennonites,9.99,53.55,1.0
514,1515,Dakelh,-127.67,55.25,0.31
515,1509,Ktunaxa,-115.76,49.51,0.54
516,1498,Sahtu Dene,-128.63,66.25,0.31
517,4139,Tunumiit,-37.63,65.61,0.31
518,4144,Kalaallit,-69.22,77.46,0.31
519,1248,Yu'pik,-156.48,71.38,0.54
520,3121,Eastern Pomo,-122.62,38.95,0.31
521,3465,Ahtna,-145.3,61.95,0.54
522,9196,Chicago S Black,-87.62,41.87,0.0
523,4304,Mamaceqtaw,-88.89,45.01,0.54
524,596,German American Midwest,-88.9,45.57,0.31
525,9470,Dust Bowl,-96.3,35.43,0.31
526,1472,Ka'igwu,-98.24,35.07,0.54
527,1244,Nʉmʉnʉʉ,-98.39,34.6,0.54
528,1245,Heévâhetaneo'o,-98.24,35.07,0.31
529,182,Meshkwahkihaki,-92.57,41.96,0.31
530,2235,Chahiksichahiks,-97.08,36.7,0.31
531,2127,Coyaha,-97.08,36.7,0.54
532,178,Mvskoke,-95.23,38.93,0.54
533,1518,Lakota,-101.52,43.66,0.54
534,179,Lenape,-95.93,36.79,0.54
535,1523,Natinixwe,-123.68,41.09,1.0
536,9940,Wintu,-123.06,40.63,0.88
537,9288,Central Pomo,-122.99,38.5,0.08
538,9941,Yokuts,-121.86,37.98,0.54
539,3122,Kashia Band Pomo,-123.33,38.65,0.54
540,1529,Olekwo'l,-123.68,41.09,0.31
541,1530,Xus,-122.27,37.87,0.31
542,1524,Siletz,-122.27,37.87,0.31
543,189,Bitterroot Salish,-114.33,47.5,0.54
544,194,Shoshone-Bannock,-113.65,37.13,0.31
545,720,Ashkenazi New York Jews,25.27,54.68,0.0
546,9199,German American N E,10.84,51.01,0.0
547,4167,Harlem 1900s,-74.0,40.71,0.31
548,4165,Harlem 1920s,-74.0,40.71,0.31
549,831,Mixed New York Jews,-73.86,40.84,0.19
550,9252,New York S Black,-78.87,42.88,1.0
551,2825,S Italian Immigrant/ Calabria,15.64,38.11,1.0
552,2824,S Italian Immigrant/ Campania,15.48,40.47,0.54
553,2531,Sardinian Immigrants,9.45,40.32,0.31
554,826,Sephardic New York Jews,-4.39,41.83,0.31
555,9945,Kumeyaay,-117.16,32.71,0.54
556,472,Alabama - Black,-88.18,32.58,0.31
557,598,Alabama - White,-86.4,33.14,1.0
558,479,Appalachian Virginia,-82.34,37.09,0.31
559,468,Asheville,-82.55,35.59,0.54
560,9408,Deep Gap,-81.51,36.23,0.08
561,601,E Kentucky,-82.97,37.14,0.31
562,9409,E Tennessee,-84.68,35.86,0.08
563,469,Galax,-80.92,36.66,0.31
564,467,Texas-Black,-95.54,30.72,1.0
565,9135,Hampton Roads,-76.43,36.86,1.0
566,4160,Chattanooga,-85.3,35.04,0.31
567,4163,Clarksdale,-90.57,34.2,0.31
568,478,Gould,-91.56,33.98,1.0
569,4161,Memphis - Black,-90.04,35.14,0.31
570,470,Parchman Farm,-90.49,33.91,0.31
571,476,Como,-88.93,34.51,0.31
572,9146,Choctaw,-89.11,32.77,0.31
573,9472,Shreveport-Black,-93.96,32.68,0.31
574,599,Ozark,-92.03,35.49,0.31
575,9117,Piedmont-Black,-81.53,35.29,0.77
576,3058,Piedmont-White,-80.88,35.78,0.31
577,4164,New Orleans Creole,-90.07,29.95,0.31
578,593,Cajun,-91.9,29.89,0.31
579,9254,"Lake Charles, LA",-92.65,30.22,1.0
580,477,Georgia Sea Islands,-81.33,31.2,1.0
581,602,Nashville,-86.78,36.16,1.0
582,163,Akimel O'odham,-112.16,33.27,0.54
583,1731,Dilzhe'e,-110.48,34.04,0.54
584,3306,Hopituh Shi-nu-mu,-109.18,36.06,0.54
