"","soc_id","EA_code","line_7","line_10","line_21","line_23","line_37","Society_latitude","Society_longitude","GlottoID","FamilyLevGlottocode","Region","Division","X.x","subsistence","X.y","class","caste","slavery","class_scaled","caste_scaled","slavery_scaled","SocialLayering_additive","EA031","EA033","xd_id","pref_name_for_society","glottocode","ORIG_name_and_ID_in_this_dataset","alt_names_by_society","main_focal_year","HRAF_name_ID","HRAF_link","origLat","origLong","Lat","Long","Comment","glottocode_comment","std_subsistence","std_caste","std_slavery","std_class","std_EA033","std_EA031","musical_pc1","social_pc1"
"14",10407,"Se8",0,0.75,0.25,0,0.25,-10.21,-72.32,"amah1246","pano1259","South America","N W South America",832,3,1219,0,0,0,0,0,0,0,1,1,"xd1372","Amahuaca","amah1246","Amahuaca (Se8)","",1950,"","",-10,-72,-10,-72,"Original","",0.375,0,0,0,0.2,0.125,-0.423172266057911,-1.01979613342998
"15",10442,"Ca40",0.5,1,0.25,0.25,0,5.81,37.87,"koor1239","gong1255","Africa","East Africa",250,4,449,1,1,1,0.25,0.333333333333333,0.5,1.08333333333333,NA,3,"xd449","Baditu","koor1239","Baditu (Ca40)","Amarro, Koira",1950,"","",6,38,6,38,"Original","",0.5,0.333333333333333,0.5,0.25,0.6,NA,NA,NA
"16",10495,"Ca7",1,0.5,0.25,0.5,0.75,11.71,39.54,"amha1245","afro1255","Africa","East Africa",256,7,455,4,1,1,1,0.333333333333333,0.5,1.83333333333333,8,4,"xd455","Amhara","amha1245","Amhara (Ca7)","",1950,"Amhara (MP05)","http://ehrafworldcultures.yale.edu/collection?owc=MP05",13,38,13,38,"Original","",0.875,0.333333333333333,0.5,1,0.8,1,1.37184269859124,1.57661118328543
"17",10506,"Ia9",0,1,0.75,0,0.25,23.09,121.35,"amis1246","aust1307","Southeast Asia","Island S E Asia",455,8,722,0,0,NA,0,0,NA,NA,5,1,"xd749","Ami","amis1246","Ami (Ia9)","Pangcah",1930,"","",22,121,22.7,121.05,"Revised","",1,0,NA,0,0.2,0.625,NA,NA
"18",10528,"Ah9",1,1,0.5,0,0,9.89,8.85,"igut1238","atla1278","Africa","West Africa",NA,NA,336,0,0,1,0,0,0.5,0.5,4,1,"xd336","Anaguta","igut1238","Anaguta (Ah9)","Naguta",1920,"","",10,9,10,9,"Original","",NA,0,0.5,0,0.2,0.5,NA,NA
"19",10572,"Ce6",1,0,0.25,0.75,0.5,36.53,-6.28,"anda1279","indo1319","Europe","Southern Europe",313,7,533,4,NA,0,1,NA,0,NA,8,4,"xd533","Spaniards","stan1288","Spaniards (Ce6)","",1950,"","",37,-6,37,-6,"Original","",0.875,NA,0,1,0.8,1,NA,NA
"20",10583,"B6",0,0.75,0.25,0.25,0.25,11.61,92.66,"jara1245","jara1244","South Asia","India/ Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",10627,"Ei13",0.75,0.25,0.5,0.75,0.25,26.15,94.56,"anga1288","sino1245","South Asia","India/ Bangladesh",NA,NA,673,1,0,2,0.25,0,1,1.25,6,1,"xd700","Angami","anga1288","Angami (Ei13)","",1910,"","",26,94,26,94,"Original","",NA,0,1,0.25,0.2,0.75,NA,NA
"22",10649,"Ah16",0.25,0.75,1,0.25,0.25,9.99,8.82,"ngas1240","afro1255","Africa","West Africa",161,4,305,2,0,2,0.5,0,1,1.5,NA,2,"xd305","Angas","ngas1240","Angas (Ah16)","",1900,"","",9,9,9,9,"Original","",0.5,0,1,0.5,0.4,NA,NA,NA
"23",10682,"Ad45",0.25,0.5,0.5,0,0.5,-0.46,30.55,"nyan1307","atla1278","Africa","East Africa",57,4,115,3,2,1,0.75,0.666666666666667,0.5,1.91666666666667,3,4,"xd115","Nyankole","nyan1307","Nyankole (Ad45)","Banyankole",1920,"","",0,31,0,31,"Original","",0.5,0.666666666666667,0.5,0.75,0.8,0.375,-0.152333505356364,0.788015413650975
"24",10814,"Sg2",0,0.75,0.75,0,0.25,-40.07,-71.01,"mapu1245","arau1255","South America","S South America",841,4,1231,1,0,1,0.25,0,0.5,0.75,2,1,"xd1384","Mapuche","mapu1245","Mapuche (Sg2)","",1880,"Aracuanians (SG04)","http://ehrafworldcultures.yale.edu/collection?owc=SG04",-39,-68,-39,-68,"Original","",0.5,0,0.5,0.25,0.2,0.25,-1.26544489854769,-0.597865592673409
"25",10827,"Ch11",0,0.25,0.5,0.5,0.5,58.41,50.21,"russ1263","indo1319","Europe","Russia",325,8,548,4,0,0,1,0,0,1,8,5,"xd548","Russians","russ1263","Russians (Ch11)","",1955,"","",53,41,53,41,"Original","",1,0,0,1,1,1,0.491428844459748,1.61993707563691
"26",10858,"Ch10",0,0,0.5,0.75,0.5,45.07,24.81,"roma1327","indo1319","Europe","Southeast Europe/ Balkans",NA,NA,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,"xd547","Romanians","baya1255","Romanians (Ch10)","",1910,"","",45,26,45,26,"Original","Note, previously baya1254 but changed by non-KK DPLACE editor in early 2016 (before 8April2016)",NA,NA,NA,NA,NA,NA,NA,NA
"27",10885,"Ci10",0.5,0,0.5,0.5,0.75,40.06,45.03,"nucl1235","indo1319","Western Asia","Caucasus",334,7,558,1,0,0,0.25,0,0,0.25,8,4,"xd575","Armenians","nucl1235","Armenians (Ci10)","",1900,"","",40,45,40,45,"Original","",0.875,0,0,0.25,0.8,1,1.27620608809954,0.834062171098829
"28",10929,"Ca11",0,0.75,1,0.25,0.5,5.63,39.75,"bora1271","afro1255","Africa","East Africa",NA,NA,417,0,1,2,0,0.333333333333333,1,1.33333333333333,NA,3,"xd417","Arusi","bora1271","Arusi (Ca11)","",1890,"","",8,40,8,40,"Original","",NA,0.333333333333333,1,0,0.6,NA,NA,NA
"29",11133,"Sf2",1,0.75,0.75,0,0.5,-17.14,-70.34,"cent2142","ayma1253","South America","N W South America",834,4,1222,1,0,0,0.25,0,0,0.25,5,NA,"xd1375","Aymara","cent2142","Aymara (Sf2)","",1940,"Aymara (SF05)","http://ehrafworldcultures.yale.edu/collection?owc=SF05",-16,-69,-16,-69,"Original","",0.5,0,0,0.25,NA,0.625,NA,NA
"30",11155,"Ai3",1,0.5,0.75,0.25,0.25,4.62,26.72,"zand1248","atla1278","Africa","Central Africa",186,3,359,2,0,1,0.5,0,0.5,1,3,3,"xd359","Azande","zand1248","Azande (Ai3)","Niam-Niam",1920,"Azande (FO07)","http://ehrafworldcultures.yale.edu/collection?owc=FO07",5,27,5,27,"Original","",0.375,0,0.5,0.5,0.6,0.375,-0.398177963734562,-0.0775331756113032
"31",11309,"Cb14",0,0.5,0.5,0.25,0.25,12.46,23.77,"chad1249","afro1255","Western Asia","Berber & Semitic North Africa",261,4,463,NA,NA,2,NA,NA,1,NA,NA,2,"xd463","Hemat","bath1248","Hemat (Cb14)","Baggara, Heimad",1910,"","",11,20,11,20,"Original","",0.5,NA,1,NA,0.4,NA,NA,NA
"32",11507,"Ib3",0,0,0.25,1,0.75,-8.36,115.08,"bali1278","aust1307","Southeast Asia","Island S E Asia",458,8,725,4,3,0,1,1,0,2,4,4,"xd752","Balinese","bali1278","Balinese (Ib3)","",1950,"Bali (OF07)","http://ehrafworldcultures.yale.edu/collection?owc=OF07",-8,115,-8.18,115.02,"Revised","Note, previously linked to language iso ""mhp"" (Malay, Balinese). Hannah Haynie checked refs/coordinates and concluded ""ban"" (Bali, glottocode bali1278) was a better match (3 Mar 2016)",1,1,0,1,0.8,0.5,1.99275056789724,1.64936276627208
"33",11518,"Ci4",0,1,0.5,0,0.25,43.56,42.26,"kaba1278","abkh1242","Western Asia","Caucasus",339,7,563,2,0,1,0.5,0,0.5,1,NA,2,"xd580","Cherkess","kaba1278","Cherkess (Ci4)","Circassians",1920,"","",44,42,44,42,"Original","",0.875,0,0.5,0.5,0.4,NA,NA,NA
"34",11529,"Ag1",1,0.25,0.5,0,0.25,12.6,-7.66,"bamb1269","mand1469","Africa","West Africa",112,4,244,2,1,1,0.5,0.333333333333333,0.5,1.33333333333333,7,2,"xd244","Bambara","bamb1269","Bambara (Ag1)","Bamana",1920,"Bambara (FA08)","http://ehrafworldcultures.yale.edu/collection?owc=FA08",13,-7,13,-7,"Original","",0.5,0.333333333333333,0.5,0.5,0.4,0.875,0.0380041236105157,0.449246668202784
"35",11584,"Ai1",0.5,0.5,0.75,0,0.25,3.96,16.59,"west2458","atla1278","Africa","Central Africa",NA,NA,337,0,0,2,0,0,1,1,NA,1,"xd337","Banda","west2458","Banda (Ai1)","",1920,"","",7,22,7,22,"Original","",NA,0,1,0,0.2,NA,NA,NA
"36",11639,"Nd63",0.25,1,0.75,0.75,0.5,44.51,-111.17,"nort2954","utoa1244","North America","United States",737,2,1048,0,0,0,0,0,0,0,2,2,"xd1200","Bannock","bann1248","Bannock (Nd63)","Eastern Bannock",1860,"","",43,-112,43,-112,"Original","",0.25,0,0,0,0.4,0.25,-0.363055115331871,-0.847274182781057
"37",11683,"Cd1",1,0.25,0.5,0.75,0.5,22.67,32.19,"kenu1236","nubi1251","Africa","East Africa",NA,NA,507,1,NA,2,0.25,NA,1,NA,2,1,"xd507","Barabra","kenu1236","Barabra (Cd1)","Kenuzi Nubians",1920,"","",23,33,23,33,"Original","",NA,NA,1,0.25,0.2,0.25,NA,NA
"38",11760,"ch12",0,0,0.5,0,0.5,53.93,55.98,"bash1264","turk1311","Europe","Russia",866,4,1265,4,0,0,1,0,0,1,8,5,"xd549","Bashkir","bash1264","Bashkir (ch12)","Basquort, Bashkort, Bashkiry",1899,"","",54,56,54,56,"Original","",0.5,0,0,1,1,1,0.265968367090177,1.17650864254195
"39",11793,"Ad46",1,0.75,0.75,0,0.25,0.41,33.39,"soga1242","atla1278","Africa","East Africa",58,4,116,2,0,1,0.5,0,0.5,1,NA,3,"xd116","Soga","soga1242","Soga (Ad46)","Basoga",1950,"","",1,33,1,33,"Original","",0.5,0,0.5,0.5,0.6,NA,NA,NA
"40",11804,"Ce8",0,0,0.5,0,0.5,43.28,-1.32,"basq1248","ISOLATE_basq1248","Europe","Southern Europe",315,7,535,4,0,0,1,0,0,1,8,4,"xd535","Spanish Basques","west1508","Spanish Basques (Ce8)","Spanish Basques",1934,"Basques (EX08)","http://ehrafworldcultures.yale.edu/collection?owc=EX08",43,-2,43,-2,"Original","",0.875,0,0,1,0.8,1,0.265968367090177,1.32487316587557
"41",11826,"Ea6",0.25,0.75,0.25,1,0.75,NA,52.53,"west2369","indo1319","Western Asia","Middle East",358,5,588,1,1,0,0.25,0.333333333333333,0,0.583333333333333,5,2,"xd605","Basseri","bass1257","Basseri (Ea6)","",1958,"Basseri (MA10)","http://ehrafworldcultures.yale.edu/collection?owc=MA10",30,34,30,34,"Original","",0.625,0.333333333333333,0,0.25,0.4,0.625,1.31889667588075,0.149858086558624
"42",11870,"Af9",1,0.75,0.5,0,0.25,7.79,-5.06,"baou1238","atla1278","Africa","West Africa",NA,NA,243,0,0,2,0,0,1,1,NA,2,"xd243","Baule","baou1238","Baule (Af9)","",1900,"","",8,-5,8,-5,"Original","",NA,0,1,0,0.4,NA,NA,NA
"43",11892,"Ai7",1,0.75,0.5,0,0.25,5.95,15.26,"nort2775","atla1278","Africa","Central Africa",NA,NA,381,0,0,2,0,0,1,1,4,1,"xd381","Gbaya","nort2775","Baya (Ai7)","Baya, Baja",1910,"","",6,16,6,16,"Original","",NA,0,1,0,0.2,0.5,NA,NA
"44",11958,"Cg5",0,0,0.75,0,0.75,50.63,4.52,"wall1255","indo1319","Europe","Western Europe",323,7,545,4,0,0,1,0,0,1,8,5,"xd545","Walloons","wall1255","Walloons (Cg5)","",1950,"","",50,5,50,5,"Original","",0.875,0,0,1,1,1,0.188452941528421,1.50907996736317
"45",12002,"Ac3",1,0.25,0.5,0.25,0.25,-10.61,29.31,"bemb1257","atla1278","Africa","Central Africa",NA,NA,55,2,0,1,0.5,0,0.5,1,3,3,"xd55","Bemba","town1238","Bemba (Ac3)","Awemba",1900,"Bemba (FQ05)","http://ehrafworldcultures.yale.edu/collection?owc=FQ05",-11,31,-11,31,"Original","",NA,0,0.5,0.5,0.6,0.375,NA,NA
"46",12046,"Ef2",1,0,0.25,1,0.75,24.01,90.12,"beng1280","indo1319","South Asia","India/ Bangladesh",392,8,637,4,3,0,1,1,0,2,8,5,"xd664","Bengali","beng1280","Bengali (Ef2)","",1940,"Bengali (AW69)","http://ehrafworldcultures.yale.edu/collection?owc=AW69",23,88,23,88,"Original","",1,1,0,1,1,1,2.36395923467066,2.23025859749994
"47",12112,"Eh10",1,0.5,0.5,0,0.5,-21.14,47.14,"plat1254","aust1307","Africa","East Africa",NA,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,"xd687","Betsileo","bets1235","Betsileo (Eh10)","",NA,"","",-22,47,-22,47,"Original","",NA,NA,NA,NA,NA,NA,NA,NA
"48",12134,"AW06",0,0.5,0.5,0.5,0.25,30.79,76.78,"panj1256","indo1319","South Asia","Afghanistan/ Pakistan/ India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",12145,"Ef5",1,0.75,0.5,0.5,0.25,23.25,77.41,"bhil1251","indo1319","South Asia","India",393,7,640,4,3,0,1,1,0,2,2,2,"xd667","Bhil","bhil1251","Bhil (Ef5)","",1900,"Bhil (AW25)","http://ehrafworldcultures.yale.edu/collection?owc=AW25",22,74,22,74,"Original","",0.875,1,0,1,0.4,0.25,0.00791258141013901,0.971747540153002
"50",12321,"Sa7",1,0.5,0.75,0,0.25,15.35,-86.91,"gari1256","araw1281","Central America","Central American Mainland",NA,NA,1170,0,0,0,0,0,0,0,6,1,"xd1323","Garifuna","gari1256","Black Carib (Sa7)","Black Carib, Garif",1940,"Garifuna (SA12)","http://ehrafworldcultures.yale.edu/collection?owc=SA12",16,-89,16,-89,"Original","",NA,0,0,0,0.2,0.75,NA,NA
"51",12343,"Ne13",0.5,0.75,0.75,0.5,0.5,49.51,-113.18,"siks1238","algi1248","North America","Canada",749,2,1060,1,0,0,0.25,0,0,0.25,3,2,"xd1212","Kainai","bloo1239","Blood (Ne13)","Blood, Kainah, Blood Tribe",1850,"Blackfoot (NF06)","http://ehrafworldcultures.yale.edu/collection?owc=NF06",51,-115,51,-115,"Original","",0.25,0,0,0.25,0.4,0.375,-0.255207177538327,-0.584498260420411
"52",12530,"Se6",0,0.5,0.75,0,0.5,-1.55,-73.11,"muru1274","huit1251","South America","N W South America",NA,NA,1217,0,0,2,0,0,1,1,NA,1,"xd1370","Witoto","muru1274","Witoto (Se6)","Ouitoto, Uitoto",1910,"","",-1,-74,-1,-74,"Original","",NA,0,1,0,0.2,NA,NA,NA
"53",12563,"EF09",0.25,0,0.25,1,0.5,44.33,17.27,"bosn1245","indo1319","Europe","Southeast Europe/ Balkans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",12594,"Cf4",1,0.25,0.5,0,0.75,-23.55,-46.63,"braz1246","indo1319","South America","E South America",318,7,539,4,2,1,1,0.666666666666667,0.5,2.16666666666667,8,5,"xd539","Brazilians","braz1246","Brazilians (Cf4)","",1940,"","",-43,-47,-23.68,-46.64,"Revised","",0.875,0.666666666666667,0.5,1,1,1,0.725245904976782,1.96425849206071
"55",12662,"Ae31",0.25,0,0.75,0,0.5,2.01,27.95,"budu1250","atla1278","Africa","Central Africa",73,3,151,0,0,2,0,0,1,1,4,1,"xd151","Budu","budu1250","Budu (Ae31)","Babudu, Banabuddu, Mabudu, Wabuddu",1920,"","",2,28,2,28,"Original","",0.375,0,1,0,0.2,0.5,-0.0623657824613573,-0.625684340880409
"56",12761,"Ch5",0,0.5,0.5,0,0.75,42.69,23.32,"bulg1262","indo1319","Europe","Southeast Europe/ Balkans",328,7,552,4,0,0,1,0,0,1,8,4,"xd569","Bulgarians","bulg1262","Bulgarians (Ch5)","",1940,"Bulgarians (EE01)","in process",43,24,43,24,"Original","",0.875,0,0,1,0.8,1,0.0984852186334139,1.32487316587557
"57",12816,"Ih3",0,0.5,0.75,0,0.25,-15.95,168.26,"saaa1241","aust1307","Oceania","Melanesia",546,3,842,1,0,0,0.25,0,0,0.25,2,1,"xd869","Bunlap","saaa1241","Bunlap (Ih3)","Pentecost",1950,"","",-16,168,-15.95,168.22,"Revised","",0.375,0,0,0.25,0.2,0.25,-1.00989287897774,-0.757020211069337
"58",12838,"Ca14",0.5,0.5,0.75,0,0,4.45,38.46,"burj1242","afro1255","Africa","East Africa",225,4,420,0,1,1,0,0.333333333333333,0.5,0.833333333333333,NA,NA,"xd420","Burji","burj1242","Burji (Ca14)","",1950,"","",5,38,5,38,"Original","",0.5,0.333333333333333,0.5,0,NA,NA,NA,NA
"59",12849,"Ei3",0.75,0,0.5,0.5,0.5,20.79,93.97,"nucl1310","sino1245","Southeast Asia","Mainland S E Asia",423,8,682,4,0,1,1,0,0.5,1.5,8,4,"xd709","Burmese","nucl1310","Burmese (Ei3)","Bamar people",1950,"Burmans (AP04)","http://ehrafworldcultures.yale.edu/collection?owc=AP04",20,95,20,95,"Original","",1,0,0.5,1,0.8,1,1.02538736410976,1.4840277842715
"60",12860,"Ee2",1,0.5,0.25,0.75,0.25,36.22,74.82,"buru1296","ISOLATE_buru1296","South Asia","Afghanistan/ Pakistan/ India",384,8,627,4,1,NA,1,0.333333333333333,NA,NA,4,2,"xd654","Burusho","buru1296","Burusho (Ee2)","",1930,"Burusho (AV07)","http://ehrafworldcultures.yale.edu/collection?owc=AV07",37,75,37,75,"Original","",1,0.333333333333333,NA,1,0.4,0.5,NA,NA
"61",12871,"Eb6",1,0,0.75,0.75,0.75,53.81,109.33,"russ1264","mong1329","Central Asia","N E Central Asia",366,5,597,2,NA,NA,0.5,NA,NA,NA,NA,NA,"xd614","Buryat","russ1264","Buryat (Eb6)","",1900,"","",52,107,52,107,"Original","",0.625,NA,NA,0.5,NA,NA,NA,NA
"62",12931,"Ig16",0,1,0.75,0,0,-9.51,150.31,"bwai1242","aust1307","Oceania","Melanesia",NA,NA,821,NA,NA,NA,NA,NA,NA,NA,NA,NA,"xd848","Bwaidoga","bwai1242","Bwaidoga (Ig16)","",1950,"","",-9,150,-9.44,150.33,"Revised","",NA,NA,NA,NA,NA,NA,NA,NA
"63",12948,"Ch6",0,0,0.5,0.25,0.5,53.71,27.95,"bela1254","indo1319","Europe","Eastern Europe",329,7,553,4,NA,0,1,NA,0,NA,7,5,"xd570","Byelorussians","bela1254","Byelorussians (Ch6)","White Russians",1910,"","",55,28,55,28,"Original","",0.875,NA,0,1,1,0.875,NA,NA
"64",13036,"Sh7",1,0.75,0.75,0,0.25,-24.59,-54.68,"east2555","tupi1275","South America","C South America",850,3,1241,NA,0,NA,NA,0,NA,NA,NA,2,"xd1394","Guaraní","east2555","Chiriguano (Sh7)","Chiriguano, Guarani",1900,"Chiriguano (SF10)","in process",-20,-63,-20,-63,"Original","",0.375,0,NA,NA,0.4,NA,NA,NA
"65",13102,"Si5",0,0.75,0.75,0,0.25,-12.27,-53.47,"kama1373","tupi1275","South America","C South America",NA,NA,1249,0,0,0,0,0,0,0,3,1,"xd1402","Kamayurá","kama1373","Camayura (Si5)","Camayura",1940,"","",-12,-54,-12,-54,"Original","",NA,0,0,0,0.2,0.375,NA,NA
"66",13124,"Ej5",0.75,0.25,0.75,0.75,0.5,12.05,105.02,"cent1989","aust1305","Southeast Asia","Mainland S E Asia",439,8,700,4,0,1,1,0,0.5,1.5,8,4,"xd727","Khmer","cent1989","Cambodians (Ej5)","Cambodians",1950,"Cambodians (AM04)","http://ehrafworldcultures.yale.edu/collection?owc=AM04",12,105,12,105,"Original","Note, previously matched to a dialect of cent1989 (sout2688); rematched to [cent1989] after ""Ancient Khmer"" linked to a different language (so no longer sharing tip of cent1989 with ""Cambodians"" (5Sept2018). Note, this change may not be incorporated to Bouckaert/Atkinson global tree because of timing of correction.",1,0,0.5,1,0.8,1,0.589205276764684,1.4840277842715
"67",13135,"Sf7",0.25,0.5,0.75,0.25,0,-11.93,-73.91,"ajyi1238","araw1281","South America","N W South America",838,3,1227,0,0,0,0,0,0,0,1,1,"xd1380","Asháninka","ajyi1238","Campa (Sf7)","Campa, Ande, Anti, Kampa",1900,"","",-8,-75,-8,-75,"Original","Note 8Feb2018: Glottocode changed to ajyi1238 based on note from HH: ""The Campa described by Craig is Shira Mountain Campa = Ajyíninka"" [all other references appear to describe the ""Campa"" generally].",0.375,0,0,0,0.2,0.125,-1.02020535449776,-1.01979613342998
"68",13157,"Ed16",0,0.25,0.5,0.5,0.75,23.13,113.27,"yuec1235","sino1245","East Asia","China",NA,NA,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,"xd644","Cantonese","yuec1235","Cantonese (Ed16)","",1940,"","",23,113,23,113,"Original","",NA,NA,NA,NA,NA,NA,NA,NA
"69",13168,"Sj1",0,0.75,1,0,0.25,-11.19,-50.35,"kara1500","nucl1710","South America","C South America",859,2,1254,0,0,2,0,0,1,1,NA,1,"xd1407","Carajá","kara1500","Caraja (Sj1)","Caraja",1950,"Karaja (SP09)","in process",-12,-50,-12,-50,"Original","",0.25,0,1,0,0.2,NA,NA,NA
"70",13190,"Na21",0,0.75,0.75,0.25,0.25,63.13,-91.4,"west2618","eski1264","North America","Canada",574,2,884,0,0,0,0,0,0,0,1,1,"xd1038","Caribou Inuit","cari1277","Caribou Eskimo (Na21)","Caribou Eskimo",1900,"","",63,-96,63,-96,"Original","",0.25,0,0,0,0.2,0.125,-1.02493865007793,-1.13065324170372
"71",13234,"Na19",0,0.75,0.5,0,0.25,54.38,-124.33,"carr1249","atha1245","North America","Canada",571,2,881,2,0,2,0.5,0,1,1.5,4,1,"xd1035","Dakelh","carr1249","Carrier (Na19)","Carrier, Takulli",1880,"","",54,-124,54,-124,"Original","",0.25,0,1,0.5,0.2,0.5,-0.8443085823028,-0.409334119302991
"72",13300,"Sf3",0,0,0.75,0.25,0,0.71,-79.05,"chac1249","barb1265","South America","N W South America",835,3,1223,0,0,0,0,0,0,0,5,1,"xd1376","Chachi","chac1249","Cayapa (Sf3)","Cayapa",1910,"Chachi (SD06)","http://ehrafworldcultures.yale.edu/collection?owc=SD06",1,-79,1,-79,"Original","",0.375,0,0,0,0.2,0.625,-0.601903482051219,-0.623107103689716
